都道府県,市区町村,区,昼間人口
兵庫県,三木市,null,78098
北海道,清里町,null,4429
兵庫県,淡路市,null,44772
京都府,京丹後市,null,57448
兵庫県,神戸市,東灘区,202756
秋田県,鹿角市,null,33529
神奈川県,横浜市,都筑区,193939
青森県,鰺ヶ沢町,null,11133
岩手県,花巻市,null,97731
北海道,小清水町,null,5207
北海道,岩見沢市,null,86846
長野県,小谷村,null,3130
北海道,当別町,null,18078
和歌山県,古座川町,null,3015
茨城県,下妻市,null,43334
千葉県,東金市,null,59999
千葉県,木更津市,null,124514
岩手県,奥州市,null,121198
島根県,安来市,null,40278
高知県,本山町,null,3986
石川県,白山市,null,106338
埼玉県,川越市,null,332876
北海道,余市町,null,20464
栃木県,足利市,null,150105
沖縄県,南風原町,null,33924
和歌山県,かつらぎ町,null,17703
宮崎県,串間市,null,19682
奈良県,東吉野村,null,2081
岐阜県,関ケ原町,null,7790
徳島県,美波町,null,7538
山口県,山陽小野田市,null,62108
岡山県,美作市,null,29605
徳島県,鳴門市,null,59181
宮崎県,日之影町,null,4332
三重県,松阪市,null,161640
鹿児島県,いちき串木野市,null,30226
茨城県,境町,null,24737
岡山県,玉野市,null,62683
宮城県,加美町,null,24554
福島県,喜多方市,null,50801
北海道,福島町,null,4919
富山県,南砺市,null,53096
千葉県,長柄町,null,7727
山形県,尾花沢市,null,18390
北海道,増毛町,null,4883
岐阜県,本巣市,null,34001
広島県,神石高原町,null,9952
熊本県,玉名市,null,67452
長野県,天龍村,null,1593
山形県,天童市,null,60344
青森県,深浦町,null,9312
宮崎県,川南町,null,16495
宮崎県,西都市,null,31338
石川県,志賀町,null,21542
岩手県,田野畑村,null,3692
大分県,宇佐市,null,57214
岐阜県,恵那市,null,51600
高知県,香美市,null,27891
宮城県,登米市,null,80620
愛媛県,鬼北町,null,11273
奈良県,吉野町,null,8296
福島県,玉川村,null,7006
埼玉県,伊奈町,null,40792
愛媛県,愛南町,null,23305
兵庫県,赤穂市,null,48486
静岡県,三島市,null,108295
岐阜県,飛騨市,null,25651
兵庫県,尼崎市,null,439358
新潟県,阿賀町,null,12765
愛媛県,西予市,null,40738
愛知県,東栄町,null,3604
青森県,野辺地町,null,13854
鹿児島県,大崎町,null,13636
兵庫県,新温泉町,null,15486
富山県,砺波市,null,47390
北海道,訓子府町,null,5259
北海道,秩父別町,null,2617
